country       ,country_code ,indicator ,weekly_count ,rate_14_day            ,date       ,cumulative ,pandemic_wave    ,cases_per_million        ,month   ,quarter
Austria       ,AUT          ,deaths    ,       159.0 ,   32.5770677146258    ,2020-12-28 ,  429730.0 ,First Wave       ,   17.799841122424397    ,2020-12 ,2020Q4
Austria       ,AUT          ,deaths    ,        54.0 ,   14.7772265922014    ,2020-12-28 ,  429784.0 ,First Wave       ,    6.0452290604460215   ,2020-12 ,2020Q4
Austria       ,AUT          ,deaths    ,         4.0 ,    1.007538176741     ,2020-12-28 ,  429788.0 ,First Wave       ,    0.4477947452182238   ,2020-12 ,2020Q4
Austria       ,AUT          ,deaths    ,        61.0 ,   13.0979962976331    ,2020-12-28 ,  429849.0 ,First Wave       ,    6.828869864577913    ,2020-12 ,2020Q4
Austria       ,AUT          ,deaths    ,       213.0 ,   57.7655221331509    ,2020-12-28 ,  430062.0 ,First Wave       ,   23.845070182870415    ,2020-12 ,2020Q4
Austria       ,AUT          ,cases     ,     14633.0 ,  330.550886051462     ,2021-01-04 ,  444695.0 ,First Wave       , 1638.1451266945674      ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,     21094.0 ,  440.171039680884     ,2021-01-04 ,  465789.0 ,First Wave       , 2361.4455889083033      ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,      3160.0 ,   81.9016589004131    ,2021-01-04 ,  468949.0 ,First Wave       ,  353.7578487223968      ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,      3667.0 ,   77.4461011854918    ,2021-01-04 ,  472616.0 ,First Wave       ,  410.5158326788067      ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,     15360.0 ,  315.068382735542     ,2021-01-04 ,  487976.0 ,First Wave       , 1719.5318216379794      ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,     14638.0 ,  375.005709383002     ,2021-01-04 ,  502614.0 ,First Wave       , 1638.70487012609        ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,       347.0 ,   83.2898226105896    ,2021-01-04 ,  502961.0 ,First Wave       ,   38.84619414768092     ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,       183.0 ,   38.2864507161581    ,2021-01-04 ,  503144.0 ,First Wave       ,   20.48660959373374     ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,        45.0 ,   11.082919944151     ,2021-01-04 ,  503189.0 ,First Wave       ,    5.037690883705018    ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,         9.0 ,    1.45533292195923   ,2021-01-04 ,  503198.0 ,First Wave       ,    1.0075381767410037   ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,        77.0 ,   15.4489187100287    ,2021-01-04 ,  503275.0 ,First Wave       ,    8.620048845450809    ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,       109.0 ,   36.047476990067     ,2021-01-04 ,  503384.0 ,First Wave       ,   12.202406807196597    ,2021-01 ,2021Q1
