Country       ,Response_measure                            ,date_start ,date_end   ,stringency_score    ,intervention_duration ,intervention_category ,stringency_category
Finland       ,IndoorOver500                               ,2020-03-12 ,2020-03-16 , 20.0               ,                    4 ,Gathering             ,Low
Finland       ,IndoorOver500                               ,2020-08-01 ,2020-10-14 , 20.0               ,                   74 ,Gathering             ,Low
Finland       ,MasksVoluntaryAllSpacesPartial              ,2022-01-07 ,2022-04-13 , 20.0               ,                   96 ,Masks                 ,Low
Finland       ,MasksVoluntaryClosedSpaces                  ,2020-09-18 ,2022-01-06 , 20.0               ,                  475 ,Masks                 ,Low
Finland       ,MasksVoluntaryClosedSpacesPartial           ,2020-08-13 ,2020-09-17 , 20.0               ,                   35 ,Masks                 ,Low
Finland       ,MassGather50                                ,2020-03-17 ,2020-06-30 , 20.0               ,                  105 ,Gathering             ,Low
Finland       ,MassGather50Partial                         ,2020-07-01 ,2020-07-31 , 20.0               ,                   30 ,Gathering             ,Low
Finland       ,MassGather50Partial                         ,2020-10-15 ,2021-10-04 , 20.0               ,                  354 ,Gathering             ,Low
Finland       ,MassGatherAll                               ,2020-03-12 ,2020-06-30 , 20.0               ,                  110 ,Gathering             ,Low
Finland       ,MassGatherAllPartial                        ,2020-07-01 ,2021-10-04 , 20.0               ,                  460 ,Gathering             ,Low
Finland       ,NonEssentialShops                           ,2020-11-30 ,2021-06-14 , 55.00000000000001  ,                  196 ,Business              ,Medium
Finland       ,OutdoorOver50                               ,2020-07-01 ,2020-07-01 , 20.0               ,                    0 ,Gathering             ,Low
Finland       ,OutdoorOver50                               ,2020-10-15 ,2021-10-04 , 20.0               ,                  354 ,Gathering             ,Low
Finland       ,OutdoorOver500                              ,2020-03-12 ,2020-03-16 , 20.0               ,                    4 ,Gathering             ,Low
Finland       ,OutdoorOver500                              ,2020-07-02 ,2020-10-14 , 20.0               ,                  104 ,Gathering             ,Low
Finland       ,PrivateGatheringRestrictionsPartial         ,2022-01-07 ,2022-02-01 , 30.0               ,                   25 ,Gathering             ,Low
Finland       ,QuarantineForInternationalTravellers        ,2020-03-18 ,2020-06-14 , 60.0               ,                   88 ,Travel                ,Medium
Finland       ,QuarantineForInternationalTravellersPartial ,2020-06-15 ,2022-06-30 , 30.0               ,                  745 ,Travel                ,Low
Finland       ,RestaurantsCafes                            ,2020-04-03 ,2020-07-12 , 20.0               ,                  100 ,Business              ,Low
Finland       ,RestaurantsCafesPartial                     ,2020-10-01 ,2021-04-17 , 20.0               ,                  198 ,Business              ,Low
Finland       ,RestaurantsCafesPartial                     ,2021-07-24 ,2022-01-30 , 20.0               ,                  190 ,Business              ,Low
Finland       ,StayHomeRiskG                               ,2020-03-16 ,2020-06-22 , 20.0               ,                   98 ,Lockdown              ,Low
