,country,date,weekly_count,indicator,stringency_score
293,Belgium,2022-02-21,30753.0,cases,
294,Belgium,2022-02-21,161.0,deaths,
295,Belgium,2022-02-21,83.0,deaths,
296,Belgium,2022-02-28,44608.0,cases,
297,Belgium,2022-02-28,24785.0,cases,
298,Belgium,2022-02-28,117.0,deaths,
299,Belgium,2022-02-28,69.0,deaths,
300,Bulgaria,2020-12-28,18067.0,cases,
301,Bulgaria,2020-12-28,2524.0,cases,
302,Bulgaria,2020-12-28,1425.0,cases,
303,Bulgaria,2020-12-28,14760.0,cases,
304,Bulgaria,2020-12-28,10181.0,cases,
305,Bulgaria,2020-12-28,641.0,deaths,
306,Bulgaria,2020-12-28,237.0,deaths,
307,Bulgaria,2020-12-28,20.0,deaths,
308,Bulgaria,2020-12-28,621.0,deaths,
309,Bulgaria,2020-12-28,561.0,deaths,
310,Bulgaria,2021-01-04,5526.0,cases,25.833333333333332
311,Bulgaria,2021-01-04,24602.0,cases,25.833333333333332
312,Bulgaria,2021-01-04,1656.0,cases,25.833333333333332
313,Bulgaria,2021-01-04,2819.0,cases,25.833333333333332
314,Bulgaria,2021-01-04,19378.0,cases,25.833333333333332
315,Bulgaria,2021-01-04,9545.0,cases,25.833333333333332
316,Bulgaria,2021-01-04,453.0,deaths,25.833333333333332
317,Bulgaria,2021-01-04,732.0,deaths,25.833333333333332
318,Bulgaria,2021-01-04,170.0,deaths,25.833333333333332
319,Bulgaria,2021-01-04,39.0,deaths,25.833333333333332
320,Bulgaria,2021-01-04,615.0,deaths,25.833333333333332
321,Bulgaria,2021-01-04,481.0,deaths,25.833333333333332
322,Bulgaria,2021-01-11,3330.0,cases,
323,Bulgaria,2021-01-11,25290.0,cases,
324,Bulgaria,2021-01-11,1205.0,cases,
325,Bulgaria,2021-01-11,5089.0,cases,
326,Bulgaria,2021-01-11,28454.0,cases,
327,Bulgaria,2021-01-11,14302.0,cases,
328,Bulgaria,2021-01-11,377.0,deaths,
329,Bulgaria,2021-01-11,684.0,deaths,
330,Bulgaria,2021-01-11,156.0,deaths,
331,Bulgaria,2021-01-11,87.0,deaths,
332,Bulgaria,2021-01-11,802.0,deaths,
333,Bulgaria,2021-01-11,455.0,deaths,
334,Bulgaria,2021-01-18,2960.0,cases,
335,Bulgaria,2021-01-18,24489.0,cases,
336,Bulgaria,2021-01-18,868.0,cases,
337,Bulgaria,2021-01-18,7949.0,cases,
338,Bulgaria,2021-01-18,32962.0,cases,
339,Bulgaria,2021-01-18,337.0,deaths,
340,Bulgaria,2021-01-18,857.0,deaths,
341,Bulgaria,2021-01-18,85.0,deaths,
342,Bulgaria,2021-01-18,128.0,deaths,
343,Bulgaria,2021-01-18,885.0,deaths,
344,Bulgaria,2021-01-25,3922.0,cases,
345,Bulgaria,2021-01-25,19272.0,cases,
346,Bulgaria,2021-01-25,711.0,cases,
347,Bulgaria,2021-01-25,10237.0,cases,
348,Bulgaria,2021-01-25,30471.0,cases,
349,Bulgaria,2021-01-25,217.0,deaths,
350,Bulgaria,2021-01-25,844.0,deaths,
351,Bulgaria,2021-01-25,91.0,deaths,
352,Bulgaria,2021-01-25,238.0,deaths,
353,Bulgaria,2021-01-25,1087.0,deaths,
354,Bulgaria,2021-02-01,4934.0,cases,
355,Bulgaria,2021-02-01,14432.0,cases,
356,Bulgaria,2021-02-01,510.0,cases,
357,Bulgaria,2021-02-01,10397.0,cases,
358,Bulgaria,2021-02-01,23313.0,cases,
359,Bulgaria,2021-02-01,283.0,deaths,
360,Bulgaria,2021-02-01,787.0,deaths,
361,Bulgaria,2021-02-01,38.0,deaths,
362,Bulgaria,2021-02-01,378.0,deaths,
363,Bulgaria,2021-02-01,1186.0,deaths,
364,Bulgaria,2021-02-08,5964.0,cases,
365,Bulgaria,2021-02-08,11137.0,cases,
366,Bulgaria,2021-02-08,519.0,cases,
367,Bulgaria,2021-02-08,9290.0,cases,
368,Bulgaria,2021-02-08,17736.0,cases,
369,Bulgaria,2021-02-08,297.0,deaths,
370,Bulgaria,2021-02-08,721.0,deaths,
371,Bulgaria,2021-02-08,57.0,deaths,
372,Bulgaria,2021-02-08,386.0,deaths,
373,Bulgaria,2021-02-08,989.0,deaths,
374,Bulgaria,2021-02-15,6923.0,cases,
375,Bulgaria,2021-02-15,7746.0,cases,
376,Bulgaria,2021-02-15,412.0,cases,
377,Bulgaria,2021-02-15,10893.0,cases,
378,Bulgaria,2021-02-15,16073.0,cases,
